store,product_id,product_name,canonical_product_name,price,old_price,currency,unit_price,price_per_kg,price_per_piece,loyalty_required,loyalty_program,loyalty_price,discount_label,date_range,url,image_url,scraped_at
Albert,2,Banány 1 kg,banany,24.9,44.46,Kč,"24,90 Kč / 1 kg",24.9,,False,,,-44% st 26. 8. – út 1. 9.,2026-08-26 - 2026-09-01,https://www.kupi.cz/letak/albert-hypermarket-letak-646?page=14&map=210925839,https://img.kupi.cz/kupi/thumbs/banany_170_340.jpg,2026-08-24T16:46:09+02:00
Albert,2,Banány 1 kg,banany,24.9,44.46,Kč,"24,90 Kč / 1 kg",24.9,,False,,,-44% zítra končí,2026-08-24 - 2026-08-25,https://www.kupi.cz/letak/albert-supermarket-letak-695?page=12&map=210617592,https://img.kupi.cz/kupi/thumbs/banany_170_340.jpg,2026-08-24T16:46:09+02:00
Albert,2859,Pomeranče 1 kg,pomerance,34.9,49.86,Kč,"34,90 Kč / 1 kg",34.9,,False,,,-30% st 26. 8. – út 1. 9.,2026-08-26 - 2026-09-01,https://www.kupi.cz/letak/albert-hypermarket-letak-646?page=14&map=210925830,https://img.kupi.cz/kupi/thumbs/pomerance_170_340.jpg,2026-08-24T16:46:09+02:00
Albert,12427,Meloun vodní 1 kg,meloun_vodni,11.9,19.83,Kč,"11,90 Kč / 1 kg",11.9,,False,,,-40% st 26. 8. – út 1. 9.,2026-08-26 - 2026-09-01,https://www.kupi.cz/letak/albert-supermarket-letak-696?page=14&map=211179045,https://img.kupi.cz/kupi/thumbs/meloun-vodni-1_170_340.jpg,2026-08-24T16:46:09+02:00
Albert,12427,Meloun vodní 1 kg,meloun_vodni,14.9,,Kč,"14,90 Kč / 1 kg",14.9,,False,,,st 26. 8. – út 1. 9.,2026-08-26 - 2026-09-01,https://www.kupi.cz/letak/albert-supermarket-letak-696?page=14&map=211179048,https://img.kupi.cz/kupi/thumbs/meloun-vodni-1_170_340.jpg,2026-08-24T16:46:09+02:00
Albert,4414,Avokádo 1 ks,avokado,24.9,39.52,Kč,"24,90 Kč / 1 ks",,24.9,False,,,-37% zítra končí,2026-08-24 - 2026-08-25,https://www.kupi.cz/letak/albert-hypermarket-letak-645?page=12&map=210608145,https://img.kupi.cz/kupi/thumbs/avokado_170_340.jpg,2026-08-24T16:46:09+02:00
Albert,705,Mandarinky 1 kg,mandarinky,49.9,69.31,Kč,"49,90 Kč / 1 kg",49.9,,False,,,-28% st 26. 8. – út 1. 9.,2026-08-26 - 2026-09-01,https://www.kupi.cz/letak/albert-supermarket-letak-696?page=14&map=211179030,https://img.kupi.cz/kupi/thumbs/mandarinky_170_340.jpg,2026-08-24T16:46:09+02:00
Albert,705,Mandarinky 1 kg,mandarinky,49.9,59.4,Kč,"49,90 Kč / 1 kg",49.9,,False,,,-16% zítra končí,2026-08-24 - 2026-08-25,https://www.kupi.cz/letak/albert-hypermarket-letak-645?page=12&map=210608139,https://img.kupi.cz/kupi/thumbs/mandarinky_170_340.jpg,2026-08-24T16:46:09+02:00
Albert,1048,Paprika červená 1 kg,paprika_cervena,54.9,79.57,Kč,"54,90 Kč / 1 kg",54.9,,False,,,-31% st 26. 8. – út 1. 9.,2026-08-26 - 2026-09-01,https://www.kupi.cz/letak/albert-hypermarket-letak-646?page=15&map=210925881,https://img.kupi.cz/kupi/thumbs/paprika-cervena-1_170_340.png,2026-08-24T16:46:09+02:00
Albert,13061,Brambory konzumní rané 1 kg,brambory,11.9,19.83,Kč,"11,90 Kč / 1 kg",11.9,,False,,,-40% st 26. 8. – út 1. 9.,2026-08-26 - 2026-09-01,https://www.kupi.cz/letak/albert-hypermarket-letak-646?page=15&map=210925869,https://img.kupi.cz/kupi/thumbs/brambory-konzumni-rane_170_340.jpg,2026-08-24T16:46:09+02:00
